a52dec 0.7.4-9
aalib 1.4rc5-12
acl 2.2.52-2
adwaita-icon-theme 3.20-2
alex 3.1.7-2
alsa-lib 1.1.1-1
alsa-utils 1.1.1-1
apr 1.5.2-1
apr-util 1.5.4-2
apvlv 0.1.5-3
arch-install-scripts 17-1
archlinux-keyring 20160402-1
arpack 3.3.0-1
asciidoc 8.6.9-2
aspell 0.60.6.1-5
at-spi2-atk 2.20.1-2
at-spi2-core 2.20.2-1
atk 2.20.0-1
atkmm 2.24.2-2
atlas-lapack-base 3.10.2-3
atool 0.39.0-4
attr 2.4.47-1
audit 2.4.4-1
augeas 1.5.0-1
autoconf 2.69-3
automake 1.15-1
avahi 0.6.32-2
avrdude 1:6.3-1
b43-fwcutter 019-1
bash 4.3.042-5
bc 1.06.95-2
beaver 0.4.1-4
bin86 0.16.21-1
bind-tools 9.10.4.P1-2
binutils 2.26-4
bison 3.0.4-2
bluez-libs 5.40-1
boost 1.60.0-5
boost-libs 1.60.0-5
bridge-utils 1.5-2
brscan3 0.2.13_1-4
btrfs-progs 4.6-1
bzip2 1.0.6-5
ca-certificates 20160507-1
ca-certificates-cacert 20140824-3
ca-certificates-mozilla 3.24-1
ca-certificates-utils 20160507-1
cabal-helper 0.7.1.0-3
cabal-install 1.24.0.0-1
cairo 1.14.6-1
cairomm 1.12.0-2
cdparanoia 10.2-5
cdrkit 1.1.11-3
celt 0.11.3-2
celt0.5.1 0.5.1.3-3
ceph 0.94.5-3
cgmanager 0.39-2
chromaprint 1.3.1-1
chromium 51.0.2704.106-1
cifs-utils 6.5-1
clisp 2.49-5
clucene 2.3.3.4-9
cmake 3.5.2-2
cmark 0.25.2-1
colord 1.3.2-2
compositeproto 0.4.2-3
confuse 2.8-2
containerd 0.2.2-1
coreutils 8.25-2
cpio 2.12-3
cpupower 4.6-4
cracklib 2.9.6-1
crashplan 4.7.0-1
cryptsetup 1.7.2-1
cuda 7.5.18-2
curl 7.49.1-1
damageproto 1.2.1-3
db 5.3.28-3
dbus 1.10.8-1
dbus-glib 0.106-1
dcadec 0.2.0-1
